,Total Bytes,Average Packet Size,Smallest Packet,Largest Packets,25%,50%,75%,No Sources,No of Destinations,No of IP srcs,No of IP dsts,unique addresses,No TCP Flags,No Protocols,Packet Count,Average Inter Arrival Time
0,14772,90.62576687116564,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,163,0.03739435582822085889570552147
1,15219,87.97109826589596,42,341,60.0,60.0,108.0,9,9,6,6,13,2,6,173,0.03493650867052023121387283237
2,15574,94.96341463414635,42,341,60.0,81.0,108.0,7,9,5,8,12,2,6,164,0.03686841463414634146341463415
3,14670,91.11801242236025,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,161,0.03755866459627329192546583851
4,25944,131.69543147208122,60,450,60.0,86.0,114.0,7,7,4,5,9,2,5,197,0.03049834517766497461928934010
5,18906,113.89156626506023,60,450,60.0,83.0,108.0,7,6,4,5,9,2,4,166,0.03619118674698795180722891566
6,15393,96.81132075471699,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,159,0.03781737735849056603773584906
7,14670,90.55555555555556,60,341,60.0,83.0,108.0,7,6,5,5,9,2,5,162,0.03752888271604938271604938272
8,14186,91.52258064516128,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03969573548387096774193548387
9,16809,97.72674418604652,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,172,0.03528680813953488372093023256
10,23830,131.65745856353593,60,450,60.0,86.0,114.0,7,6,4,5,9,2,4,181,0.03342354696132596685082872928
11,20915,116.19444444444444,46,450,60.0,83.0,114.0,9,11,7,9,15,2,6,180,0.03333708333333333333333333333
12,15227,95.16875,60,341,60.0,83.0,108.0,7,7,5,6,10,2,4,160,0.0380699
13,15012,95.0126582278481,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,158,0.03826530379746835443037974684
14,16339,94.99418604651163,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,172,0.03533886046511627906976744186
15,19146,112.62352941176471,60,450,60.0,83.0,108.0,7,6,4,5,9,2,5,170,0.0355571
16,24190,134.38888888888889,60,450,60.0,86.0,114.0,7,8,4,5,10,2,6,180,0.03359328888888888888888888889
17,14426,91.88535031847134,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,157,0.03837653503184713375796178344
18,14703,95.47402597402598,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,154,0.03896254545454545454545454545
19,16208,93.6878612716763,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,173,0.03468339306358381502890173410
20,14496,91.74683544303798,60,341,60.0,83.0,108.0,7,5,4,4,8,2,4,158,0.03797716455696202531645569620
21,26173,111.37446808510639,42,450,60.0,83.0,112.0,9,16,7,11,18,2,8,235,0.02553290212765957446808510638
22,24996,122.52941176470588,42,450,60.0,83.0,114.0,7,12,6,9,13,2,6,204,0.02941297058823529411764705882
23,15040,91.70731707317073,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,164,0.03658587804878048780487804878
24,18382,98.29946524064171,42,342,60.0,83.0,108.0,9,9,6,6,11,2,6,187,0.03208678074866310160427807487
25,14997,88.7396449704142,42,341,60.0,60.0,108.0,8,8,4,4,10,2,4,169,0.03550527218934911242603550296
26,15045,96.4423076923077,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,156,0.03846196794871794871794871795
27,18990,110.40697674418605,42,450,60.0,83.0,108.0,7,7,5,6,10,2,5,172,0.03488608720930232558139534884
28,24312,133.58241758241758,60,450,60.0,86.0,114.0,8,7,4,5,10,2,5,182,0.03296737362637362637362637363
29,16468,95.1907514450867,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,173,0.03468442196531791907514450867
30,19241,91.18957345971565,54,341,60.0,74.0,97.0,7,6,5,5,8,4,4,211,0.02843640284360189573459715640
31,17348,94.28260869565217,46,341,60.0,79.0,108.0,9,10,6,8,13,2,7,184,0.03261035869565217391304347826
32,16644,94.03389830508475,46,341,60.0,83.0,108.0,7,10,6,9,12,2,6,177,0.03390004519774011299435028249
33,20554,115.47191011235955,54,450,60.0,83.0,112.5,8,8,5,6,10,2,5,178,0.03370826404494382022471910112
34,23496,132.74576271186442,60,450,60.0,86.0,114.0,8,7,4,5,10,2,5,177,0.03390107344632768361581920904
35,69728,76.79295154185021,42,341,73.0,73.0,73.0,7,7,5,4,9,3,4,908,0.006607950440528634361233480176
36,230180,74.13204508856683,60,341,73.0,73.0,73.0,8,7,5,4,10,3,5,3105,0.001932374557165861513687600644
37,167983,74.263041556145,60,341,73.0,73.0,73.0,7,6,6,5,9,3,5,2262,0.002652643678160919540229885057
38,15346,93.0060606060606,54,341,60.0,83.0,108.0,8,7,5,5,9,2,4,165,0.03636408484848484848484848485
39,19006,110.5,60,450,60.0,83.0,108.0,7,8,4,5,10,2,6,172,0.03488523255813953488372093023
40,26368,127.38164251207729,60,450,60.0,86.0,114.0,7,7,4,5,10,2,5,207,0.02898648792270531400966183575
41,15390,96.1875,60,341,60.0,83.0,108.0,9,8,6,6,12,2,5,160,0.03750184375
42,15247,88.13294797687861,42,341,60.0,60.0,108.0,7,9,5,8,12,2,6,173,0.03468397109826589595375722543
43,15827,88.91573033707866,42,341,60.0,60.0,105.25,8,8,5,5,10,2,5,178,0.03370838202247191011235955056
44,252467,65.4059585492228,42,341,60.0,60.0,73.0,8,8,4,4,10,5,5,3860,0.001554715025906735751295336788
45,622326,65.28123360956677,42,450,60.0,60.0,73.0,7,7,4,5,10,5,5,9533,0.0006294257841183258155879576209
46,383813,66.56486298994103,60,450,60.0,60.0,73.0,8,7,4,5,10,5,6,5766,0.001086808185917447103711411724
47,14958,87.98823529411764,42,341,60.0,60.0,97.0,7,7,5,6,9,5,5,170,0.03530285294117647058823529412
48,15467,92.06547619047619,42,341,60.0,60.0,108.0,8,7,4,4,10,2,5,168,0.03582631547619047619047619048
49,15441,88.74137931034483,42,341,60.0,70.0,105.25,8,8,4,4,11,2,6,174,0.03455139655172413793103448276
50,17608,97.82222222222222,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,180,0.03333383888888888888888888889
51,19634,114.15116279069767,60,450,60.0,83.0,108.0,9,8,6,6,12,2,6,172,0.03492091279069767441860465116
52,25300,129.08163265306123,46,450,60.0,83.0,114.0,8,11,6,9,14,2,6,196,0.03148043877551020408163265306
53,15300,94.44444444444444,60,341,60.0,83.0,108.0,7,5,4,4,8,2,4,162,0.03896488271604938271604938272
54,14988,91.95092024539878,60,341,60.0,83.0,108.0,8,8,5,5,11,2,6,163,0.03709574846625766871165644172
55,16922,98.38372093023256,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,172,0.03534128488372093023255813953
56,14067,92.54605263157895,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,152,0.03977765789473684210526315789
57,20060,113.97727272727273,60,450,60.0,83.0,108.0,8,8,5,6,11,2,6,176,0.0343503125
58,23556,132.3370786516854,60,450,60.0,86.0,114.0,7,6,4,5,9,2,4,178,0.03397202247191011235955056180
59,13888,90.77124183006536,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,153,0.03931922222222222222222222222
60,17053,99.72514619883042,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,171,0.03508911111111111111111111111
61,14962,90.13253012048193,46,341,60.0,71.5,108.0,9,9,6,7,13,2,6,166,0.03614684337349397590361445783
62,15253,93.57668711656441,46,341,60.0,83.0,108.0,8,9,6,7,12,2,6,163,0.03681077300613496932515337423
63,18526,112.96341463414635,60,450,60.0,83.0,108.0,6,6,4,5,8,2,4,164,0.03658723170731707317073170732
64,23796,130.74725274725276,60,450,60.0,86.0,114.0,8,8,4,5,11,2,6,182,0.03296834065934065934065934066
65,17302,99.4367816091954,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,174,0.03448325287356321839080459770
66,14316,92.36129032258064,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.0387112
67,14781,92.9622641509434,60,341,60.0,83.0,108.0,8,7,5,5,10,2,6,159,0.03773723899371069182389937107
68,14256,92.57142857142857,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,154,0.03896257792207792207792207792
69,18966,113.5688622754491,60,450,60.0,83.0,108.0,8,7,4,5,10,2,5,167,0.03592955089820359281437125749
70,26602,134.35353535353536,60,450,60.0,86.0,136.0,7,6,4,5,9,2,4,198,0.03030420202020202020202020202
71,21822,92.46610169491525,42,359,60.0,74.0,108.0,9,16,7,12,18,2,8,236,0.02542474576271186440677966102
